,Name,Review Count,Category,Sub Category,Address,City,Zip Code,Phone number,Yelp Domain
251,Enoteca Vespaio,661 reviews,Italian,Desserts,1610 S Congress Ave ,Austin,78704,(512) 441-7672,https://www.yelp.com/biz/enoteca-vespaio-austin?hrid=5w8POaufP9poo1iPB76SOw&osq=Restaurants
252,The Halal Guys,62 reviews,Halal,,2915 Guadalupe St ,Austin,78705,(512) 761-3633,https://www.yelp.com/biz/the-halal-guys-austin-4?hrid=8AO0ijeWyILFtHGCZXeugw&osq=Restaurants
253,Crepe Crazy,249 reviews,Creperies,,3103 S Lamar Blvd ,Austin,78704,(512) 387-2442,https://www.yelp.com/biz/crepe-crazy-austin-2?hrid=6WSPFUIYGrgY6cmfMrqfjQ&osq=Restaurants
254,Hopfields,366 reviews,Pubs,French,3110 Guadalupe St ,Austin,78705,(512) 537-0467,https://www.yelp.com/biz/hopfields-austin?hrid=6poeI17s-WmbeORbcFrXoQ&osq=Restaurants
255,Seoulfood,136 reviews,Korean,Japanese,8650 Spicewood Springs Rd ,Austin,78759,(512) 249-9122,https://www.yelp.com/biz/seoulfood-austin-3?hrid=XEf6zwvrFu5e2mCXkmEHfA&osq=Restaurants
256,Three Little Pigs,153 reviews,Food Stands,American (New),6507 Burnet Rd ,Austin,78757,(512) 653-5088,https://www.yelp.com/biz/three-little-pigs-austin?hrid=YMwJtHrnhCjGt_aKRqO96w&osq=Restaurants
257,DK Maria's Legendary Tex-Mex,48 reviews,Tex-Mex,Salad,1807 W Slaughter Ln ,Austin,78748,(512) 292-1001,https://www.yelp.com/biz/dk-marias-legendary-tex-mex-austin-2?hrid=vDo_aUk_Q-Mfm8cgXRjQtA&osq=Restaurants
258,Sa-Ten,234 reviews,Japanese,Coffee & Tea,916 Springdale Rd ,Austin,78702,(512) 524-1544,https://www.yelp.com/biz/sa-ten-austin-7?hrid=9FpKmVwZ322fwHsMDLJniw&osq=Restaurants
259,Knotty Deck & Bar,48 reviews,Bars,Breakfast & Brunch,9721 Arboretum Blvd ,Austin,78759,(512) 795-6063,https://www.yelp.com/biz/knotty-deck-and-bar-austin?hrid=M1O3nZPDHOB1v_rNd3NqLQ&osq=Restaurants
260,Nosh & Bevvy,56 reviews,Gastropubs,Pubs,8440 Burnet Rd ,Austin,78757,(512) 454-8636,https://www.yelp.com/biz/nosh-and-bevvy-austin?hrid=wfzRKUD_FxqQacp5NosJzw&osq=Restaurants
261,Frank,1701 reviews,Hot Dogs,Lounges,407 Colorado St ,Austin,78701,(512) 494-6916,https://www.yelp.com/biz/frank-austin?hrid=4SmdpHtakUxbz3f4-hPX-g&osq=Restaurants
262,Jeffrey's,193 reviews,American (Traditional),,1204 W Lynn St ,Austin,78703,(512) 477-5584,https://www.yelp.com/biz/jeffreys-austin?hrid=hl3aKRcs5sU_zROkHWNduA&osq=Restaurants
263,Taco Baby,80 reviews,Food Trucks,Tex-Mex,96 Rainey St ,Austin,78701,(917) 750-8576,https://www.yelp.com/biz/taco-baby-austin?hrid=oPeOsnGdahy87Y8M8X_eFg&osq=Restaurants
264,Hit The Spot Cafe,141 reviews,American (Traditional),Breakfast & Brunch,5121 Albert Brown RdGarfield,Austin,78617,(512) 563-5765,https://www.yelp.com/biz/hit-the-spot-cafe-garfield?hrid=cotO6vNhGTGpmibFFhbchw&osq=Restaurants
265,Azul Tequila,143 reviews,Mexican,,3815 Dry Creek Dr ,Austin,78731,(512) 334-9973,https://www.yelp.com/biz/azul-tequila-austin-2?hrid=eu-YqEFtjSe7HJDhMDxbnA&osq=Restaurants
266,Papa Donkasu,44 reviews,Japanese,Salad,1700 W Parmer Ln ,Austin,78727,(737) 484-8084,https://www.yelp.com/biz/papa-donkasu-austin-5?hrid=NSQUTQmAuDDG3p-5NgDHEQ&osq=Restaurants
267,Lonesome Dove Western Bistro,136 reviews,American (New),Steakhouses,419 Colorado St ,Austin,78701,(512) 271-2474,https://www.yelp.com/biz/lonesome-dove-western-bistro-austin?hrid=zQpDJOxup-29fNj5J5uHkw&osq=Restaurants
268,Via 313 Pizza,246 reviews,Pizza,,61 Rainey St ,Austin,78701,(512) 609-9405,https://www.yelp.com/biz/via-313-pizza-austin-3?hrid=_gsMFlkEs2E-Safb2jgXQw&osq=Restaurants
269,Phoenician Resto Cafe,175 reviews,Lebanese,Mediterranean,84 N Interstate 35 Frontage Rd ,Austin,78701,(512) 712-5904,https://www.yelp.com/biz/phoenician-resto-cafe-austin?hrid=KkzBFDzZv22Q4eycJuRLrg&osq=Restaurants
270,Sosa Mediterranean Foods,15 reviews,Food Trucks,Mediterranean,2500 E 6th St ,Austin,78702,(512) 287-9256,https://www.yelp.com/biz/sosa-mediterranean-foods-austin?hrid=mFV_XtvY79nl8dHPOm-N5Q&osq=Restaurants
271,Paperboy,258 reviews,Food Trucks,Breakfast & Brunch,1203 E 11th St ,Austin,78702,,https://www.yelp.com/biz/paperboy-austin?hrid=PnKPIY6iQUTlh6NTFW4Lew&osq=Restaurants
272,Cannon + Belle,45 reviews,Bars,Breakfast & Brunch,500 E 4th St ,Austin,78701,(512) 493-4900,https://www.yelp.com/biz/cannon-belle-austin?hrid=Q1HovoUqLTCsT8WTs3lbuA&osq=Restaurants
273,Cafe Nena'i,58 reviews,Cafes,Bakeries,1700 Montopolis Dr ,Austin,78741,(512) 840-9066,https://www.yelp.com/biz/cafe-nenai-austin-2?hrid=jKc3oWCsO-deJZRtAoEXdg&osq=Restaurants
274,Javelina,239 reviews,American (Traditional),Pubs,69 Rainey St ,Austin,78701,(512) 382-6917,https://www.yelp.com/biz/javelina-austin?hrid=np9-3p8Ze7iAwsDKWBKheQ&osq=Restaurants
275,The Rusty Mule,40 reviews,Bars,Barbeque,9201 Hwy 290 ,Austin,78736,,https://www.yelp.com/biz/the-rusty-mule-austin?hrid=JbscSd953K76FSJngpxwpw&osq=Restaurants
276,Boiler Nine,116 reviews,American (New),Bars,800 W Cesar Chavez St ,Austin,78701,(512) 220-9990,https://www.yelp.com/biz/boiler-nine-austin?hrid=OThP1oWAV1OlgqXCwkNf3g&osq=Restaurants
277,El Sapo,14 reviews,Burgers,,900 W 10th St ,Austin,78703,(512) 366-5154,https://www.yelp.com/biz/el-sapo-austin-2?hrid=Agnxl5h4_axuY1dTrKwJkg&osq=Restaurants
278,Tillery Kitchen and Bar,80 reviews,Lounges,Desserts,3201 E Cesar Chavez St ,Austin,78702,(512) 524-0580,https://www.yelp.com/biz/tillery-kitchen-and-bar-austin?hrid=V6bNM1AtQV624APc3O0cbw&osq=Restaurants
279,Vespaio Ristorante,449 reviews,Italian,,1610 South Congress Ave ,Austin,78704,(512) 441-6100,https://www.yelp.com/biz/vespaio-ristorante-austin-6?hrid=5WZwQnTA_Ax4A4Ni7d_I3Q&osq=Restaurants
280,Cuba 512,290 reviews,Caribbean,Cuban,6800 West Gate Blvd ,Austin,78745,(512) 382-1022,https://www.yelp.com/biz/cuba-512-austin?hrid=tXRAIvexbd5icibFFxAFqg&osq=Restaurants
281,Goya,28 reviews,Japanese,Korean,13766 Research Blvd ,Austin,78750,(512) 814-0130,https://www.yelp.com/biz/goya-austin?hrid=vg28vJfi-r7kyUe-uJUCxw&osq=Restaurants
282,Sabor Colombia,3 reviews,Colombian,Food Trucks,,Austin,,(512) 888-3992,https://www.yelp.com/biz/sabor-colombia-austin?hrid=Bsv9Ll-HnwBJH9jQ92gunA&osq=Restaurants
283,Mission Dogs,45 reviews,Hot Dogs,Asian Fusion,1701 E Cesar Chavez St ,Austin,78702,,https://www.yelp.com/biz/mission-dogs-austin-2?hrid=JthDc4Wp7zsztuXJm-r-YQ&osq=Restaurants
284,Cafe Blue - Downtown,54 reviews,Seafood,Steakhouses,340 East 2nd St ,Austin,78701,(512) 428-5796,https://www.yelp.com/biz/cafe-blue-downtown-austin?hrid=RYplGRtJ8qeUNDkM1xuPOQ&osq=Restaurants
285,Torchy's Tacos,279 reviews,Breakfast & Brunch,Tacos,1822 S Congress ,Austin,78704,(512) 916-9025,https://www.yelp.com/biz/torchys-tacos-austin-17?hrid=skn46SLWb6kXL2OLcqxBxA&osq=Restaurants
286,Buenos Aires Café - Este,505 reviews,Argentine,,1201 E 6th St ,Austin,78702,(512) 382-1189,https://www.yelp.com/biz/buenos-aires-caf%C3%A9-este-austin-2?hrid=rGDI7meM5dSaQvsdBGtbSg&osq=Restaurants
287,Nightcap,108 reviews,Cocktail Bars,American (New),1401 W 6th St ,Austin,78703,(512) 628-0144,https://www.yelp.com/biz/nightcap-austin?hrid=fqlGs4GJSDgq4JM0faZZaw&osq=Restaurants
288,Michi Ramen,1037 reviews,Ramen,Asian Fusion,6519 N Lamar Blvd ,Austin,78752,(512) 386-1908,https://www.yelp.com/biz/michi-ramen-austin?hrid=zP8Jkh-0GkJJy7K7DayIWg&osq=Restaurants
289,Mia Italian Tapas & Bar,173 reviews,Italian,Tapas Bars,11420 Rock Rose Ave ,Austin,78758,(512) 215-9598,https://www.yelp.com/biz/mia-italian-tapas-and-bar-austin?hrid=weHrDasRioXhiFQgSyteFQ&osq=Restaurants
290,Toaster,47 reviews,Food Trucks,American (New),1910 E Cesar Chavez ,Austin,78702,,https://www.yelp.com/biz/toaster-austin?hrid=apTH3wzO0z1SLlphIv2CDw&osq=Restaurants
291,Texas Chili Parlor,525 reviews,American (Traditional),Bars,1409 Lavaca St ,Austin,78701,(512) 472-2828,https://www.yelp.com/biz/texas-chili-parlor-austin?hrid=0eVPhBH4Hb4Xjk98ufcC5w&osq=Restaurants
292,Villarina's Pasta & Fine Foods,15 reviews,Italian,Specialty Food,3201 Bee Caves Rd ,Austin,78646,(512) 306-0064,https://www.yelp.com/biz/villarinas-pasta-and-fine-foods-austin-2?hrid=EkFy1qynSBykQ-vqquUIlw&osq=Restaurants
293,Visconti Ristorante & Bar,27 reviews,Italian,Bars,320 S Capital Of Texas Hwy ,Austin,78746,(512) 306-6500,https://www.yelp.com/biz/visconti-ristorante-and-bar-austin?hrid=rDtF-idkyoyBP4W1-p-8jQ&osq=Restaurants
294,Honduras Food,26 reviews,Caribbean,Imported Food,7207 East Riverside Dr ,Austin,78741,(512) 902-7490,https://www.yelp.com/biz/honduras-food-austin?hrid=ev3OzlW0qRPrzrJFWt-BLw&osq=Restaurants
295,Numero28,243 reviews,Italian,Gelato,452 W 2nd St ,Austin,78701,(512) 494-5510,https://www.yelp.com/biz/numero28-austin?hrid=G_w--RGQdXPnFdiUICHTdA&osq=Restaurants
296,Burro Cheese Kitchen,7 reviews,Sandwiches,Food Trucks,,Austin,,(737) 400-1347,https://www.yelp.com/biz/burro-cheese-kitchen-austin-3?hrid=TnHvtaPRGUSGFCpX-hqHWw&osq=Restaurants
297,Xian Sushi and Noodle,345 reviews,Sushi Bars,Chinese,1801 E 51st St ,Austin,78723,(512) 469-7878,https://www.yelp.com/biz/xian-sushi-and-noodle-austin?hrid=8aCKauqjqS017_C0XCwdWg&osq=Restaurants
298,Juan In A Million Restaurant,1316 reviews,Mexican,Breakfast & Brunch,2300 E Cesar Chavez St ,Austin,78702,(512) 472-3872,https://www.yelp.com/biz/juan-in-a-million-restaurant-austin?hrid=hkM1D8HV-gwB07tqHmk97g&osq=Restaurants
299,Xiang Yun Tea Room,32 reviews,Vegetarian,Tea Rooms,6720 N Capital Of Texas Hwy ,Austin,78731,(512) 346-6789,https://www.yelp.com/biz/xiang-yun-tea-room-austin-2?hrid=ly-D_HlIewV1oUjhaV2_5w&osq=Restaurants
300,Gravy,123 reviews,Breakfast & Brunch,Food Trucks,4209 Airport Blvd ,Austin,78719,(512) 710-3573,https://www.yelp.com/biz/gravy-austin?hrid=hXXa1pd3UOykiTYGaynfRg&osq=Restaurants
301,Lucky's Puccias and Pizzeria,187 reviews,Pizza,Italian,1611 W 5th St ,Austin,78703,(512) 291-3531,https://www.yelp.com/biz/luckys-puccias-and-pizzeria-austin?hrid=rTHFhCv1YfmdOWqaWhJAZA&osq=Restaurants
302,Ya Hayati,14 reviews,Mediterranean,Food Trucks,318 E Fifth St ,Austin,78701,(737) 400-2682,https://www.yelp.com/biz/ya-hayati-austin?hrid=dSocI2r1HxZ_vymkjhdpMQ&osq=Restaurants
303,Deckhand Oyster Bar - South,186 reviews,Seafood,Bars,4211 S Lamar ,Austin,78704,(512) 326-1963,https://www.yelp.com/biz/deckhand-oyster-bar-south-austin-2?hrid=di9q5CmE1BLqwjh1ojBjGQ&osq=Restaurants
304,"Lox, Box & Barrel",72 reviews,Delis,Sandwiches,9521 US Hwy 290 W ,Austin,78737,(512) 400-0681,https://www.yelp.com/biz/lox-box-and-barrel-austin?hrid=hpuG0nQ79bPBjg8ytDOJNg&osq=Restaurants
305,Halal Bros,130 reviews,Mediterranean,Middle Eastern,1910 West Braker Ln ,Austin,78758,(737) 222-5487,https://www.yelp.com/biz/halal-bros-austin-3?hrid=XKU_3yAbZfzYDuekhaYxjw&osq=Restaurants
306,The Buzz Mill,344 reviews,Coffee & Tea,Cheesesteaks,1505 Town Creek Dr ,Austin,78741,(512) 912-9221,https://www.yelp.com/biz/the-buzz-mill-austin-5?hrid=2BSCgEoBXe3Twa_j9dofsw&osq=Restaurants
307,El Chilito,16 reviews,Salad,Tacos,4501 Manchaca Rd ,Austin,78745,(512) 369-3518,https://www.yelp.com/biz/el-chilito-austin-12?hrid=kJR0bZrLR1tkJ8nZY0Pxeg&osq=Restaurants
308,Arlo's,341 reviews,Vegan,Vegetarian,900 Red River St ,Austin,78701,(512) 840-1600,https://www.yelp.com/biz/arlos-austin?hrid=wQXZ_4ZTLA6xM7L9G736zw&osq=Restaurants
309,Mour Cafe + Pantry,89 reviews,Cafes,Bars,1414 Shore District Dr ,Austin,78741,(512) 442-6687,https://www.yelp.com/biz/mour-cafe-pantry-austin?hrid=H1dhsvIxh_i8pqfZY846cA&osq=Restaurants
310,Cabo Bob's Burritos,615 reviews,Mexican,,500 E Ben White Blvd ,Austin,78704,(512) 432-1111,https://www.yelp.com/biz/cabo-bobs-burritos-austin?hrid=ynM1RlXSVwMil1FUoP3I2w&osq=Restaurants
311,Little Woodrow's,124 reviews,Pubs,Burgers,9500 S I H 35 ,Austin,78748,(512) 282-2336,https://www.yelp.com/biz/little-woodrows-austin-3?hrid=IRn06gGW5WH9nNeD2RDrtQ&osq=Restaurants
312,Hopdoddy Burger Bar,81 reviews,American (Traditional),Burgers,4615 N Lamar Blvd ,Austin,78751,(512) 335-2337,https://www.yelp.com/biz/hopdoddy-burger-bar-austin-4?hrid=WvyfAiggNwNQwfhlPwSV7g&osq=Restaurants
313,Bazille,20 reviews,French,American (New),3111 Palm Way ,Austin,78758,(512) 605-4875,https://www.yelp.com/biz/bazille-austin?hrid=bZ1lYECTId9vHwrJCD8Ewg&osq=Restaurants
314,Tommy Want Wingy,161 reviews,Chicken Wings,Food Stands,94 Rainey St ,Austin,78701,(512) 662-8516,https://www.yelp.com/biz/tommy-want-wingy-austin?hrid=ozDVz8mIl-hOn3dzYQWg_w&osq=Restaurants
315,In The Coconut,7 reviews,Southern,Cajun/Creole,2125 E Cesar Chavez St ,Austin,78702,(512) 888-1597,https://www.yelp.com/biz/in-the-coconut-austin-3?hrid=zHz4vp6KzSJIzoKHXYe3lA&osq=Restaurants
316,Taste of Ethiopia,91 reviews,Ethiopian,Vegan,3801 S Congress Ave ,Austin,78704,(512) 814-3141,https://www.yelp.com/biz/taste-of-ethiopia-austin?hrid=TaHFyZEh02cfLnROKmu2Qg&osq=Restaurants
317,Galaxy Cafe,345 reviews,American (New),American (Traditional),4616 Triangle Ave ,Austin,78705,(512) 323-9494,https://www.yelp.com/biz/galaxy-cafe-austin-4?hrid=pF-vUy7uC4defJRLlR-RcA&osq=Restaurants
318,827Ray's Kitchen + Cellar,67 reviews,Wine Bars,French,3519 Ranch Rd 620 N ,Austin,78734,(512) 266-9445,https://www.yelp.com/biz/827rays-kitchen-cellar-austin?hrid=kTN64_mGw8KcUZLsSvcyGA&osq=Restaurants
319,Perry's Steakhouse & Grille - Downtown Austin,774 reviews,Steakhouses,Seafood,114 West 7th St ,Austin,78701,(512) 474-6300,https://www.yelp.com/biz/perrys-steakhouse-and-grille-downtown-austin-austin?hrid=MS-GBSBqk9fFMbNYoOCElg&osq=Restaurants
320,Pinch,42 reviews,Food Trucks,Asian Fusion,,Austin,,,https://www.yelp.com/biz/pinch-austin-2?hrid=t7bDkTYXSosGGWQ2eURC2A&osq=Restaurants
321,Sawyer & Co,362 reviews,Cajun/Creole,Diners,4827 E Cesar Chavez St ,Austin,78702,(512) 531-9033,https://www.yelp.com/biz/sawyer-and-co-austin-2?hrid=D9SULzkOiLlmYNvfvE2yXA&osq=Restaurants
322,Musashino Sushi Dokoro,560 reviews,Japanese,Sushi Bars,2905 San Gabriel St ,Austin,78705,(512) 795-8593,https://www.yelp.com/biz/musashino-sushi-dokoro-austin?hrid=Azn-DT-FY1TFwIOVZDB0UQ&osq=Restaurants
323,The Highball,113 reviews,Cocktail Bars,Karaoke,1120 S Lamar Blvd ,Austin,78704,(512) 383-8309,https://www.yelp.com/biz/the-highball-austin-2?hrid=oUnF54JO8ubSq3Z9cEQjeQ&osq=Restaurants
324,Yellow Jacket Social Club,326 reviews,Lounges,American (New),1704 E 5th St ,Austin,78702,(512) 480-9572,https://www.yelp.com/biz/yellow-jacket-social-club-austin?hrid=RMFhUdST-ALnICi8g9VYdA&osq=Restaurants
325,Pappadeaux Seafood Kitchen,539 reviews,Seafood,Cajun/Creole,6319 I-35 N ,Austin,78752,(512) 452-9363,https://www.yelp.com/biz/pappadeaux-seafood-kitchen-austin-2?hrid=0HfAXPggtGXJy8_kUOHtQw&osq=Restaurants
326,Bartlett's,560 reviews,Steakhouses,American (New),2408 W Anderson Ln ,Austin,78757,(512) 451-7333,https://www.yelp.com/biz/bartletts-austin?hrid=B-9308SOxDDispotA-o6yw&osq=Restaurants
327,Paperboy,4 reviews,Food Trucks,Breakfast & Brunch,4204 Manchaca Rd ,Austin,78704,,https://www.yelp.com/biz/paperboy-austin-2?hrid=gn2RgZN-UHS2LYhvGzoNLA&osq=Restaurants
328,El Taquito,312 reviews,Mexican,,1713 E Riverside Dr ,Austin,78741,(512) 851-8226,https://www.yelp.com/biz/el-taquito-austin?hrid=Or7wqHtX18hFdK0Ma2bv0Q&osq=Restaurants
329,Via 313 Pizza,542 reviews,Pizza,,1111B E 6th St ,Austin,78702,(512) 939-1927,https://www.yelp.com/biz/via-313-pizza-austin?hrid=JOBuO4Z0dDP6Zbq3yY7BfQ&osq=Restaurants
330,Mi Tradicion,248 reviews,Bakeries,Mexican,8716 Research Blvd ,Austin,78758,(512) 374-9910,https://www.yelp.com/biz/mi-tradicion-austin?hrid=ec74ufV62_lpPVH20BRtHQ&osq=Restaurants
331,La Condesa,1151 reviews,Mexican,,400 W 2nd St ,Austin,78701,(512) 499-0300,https://www.yelp.com/biz/la-condesa-austin?hrid=J-nvJWibJbf0pX4OUwA5vw&osq=Restaurants
332,Espadas De Brazil,4 reviews,Brazilian,Food Trucks,2512 Rio Grande St ,Austin,78705,(512) 965-3181,https://www.yelp.com/biz/espadas-de-brazil-austin-3?hrid=wYTkZIasWQEcN-WBer240g&osq=Restaurants
333,Olamaie,281 reviews,Southern,American (New),1610 San Antonio St ,Austin,78701,(512) 474-2796,https://www.yelp.com/biz/olamaie-austin?hrid=EG2SY-giYjVoxrQ6EbHxMg&osq=Restaurants
334,Sip Saam Thai,329 reviews,Thai,,6301 W Parmer Ln ,Austin,78729,(512) 358-1878,https://www.yelp.com/biz/sip-saam-thai-austin?hrid=mBUFNQDsI-qvRJSTkmlcqg&osq=Restaurants
335,General Tso'Boy,170 reviews,Sandwiches,Chinese,11501 Rock Rose ,Austin,78758,(512) 339-6959,https://www.yelp.com/biz/general-tsoboy-austin?hrid=oCaph0IH8qSKtp-0KdP7ng&osq=Restaurants
336,Cover 3,103 reviews,American (New),Sports Bars,1717 W 6th St ,Austin,78703,(512) 982-1550,https://www.yelp.com/biz/cover-3-austin-3?hrid=Igswtd_Zry3JynYzEFGrvg&osq=Restaurants
337,Hillside Farmacy,659 reviews,American (New),Breakfast & Brunch,1209 E 11th St ,Austin,78702,(512) 628-0168,https://www.yelp.com/biz/hillside-farmacy-austin?hrid=pnNY_s0DK71hqMtvImL4RA&osq=Restaurants
338,Hookah Buzz,31 reviews,Hookah Bars,Lounges,11657 Research Blvd ,Austin,78759,(512) 296-2196,https://www.yelp.com/biz/hookah-buzz-austin-7?hrid=WtOf_sOX2L3xFBFeyH49gw&osq=Restaurants
339,Santorini Cafe,493 reviews,Greek,Wine Bars,11800 N Lamar Blvd ,Austin,78753,(512) 833-6000,https://www.yelp.com/biz/santorini-cafe-austin?hrid=YG93znIq2u8fWSmn21nnFQ&osq=Restaurants
340,Drink Well,279 reviews,Gastropubs,Bars,207 E 53rd St ,Austin,78751,(512) 614-6683,https://www.yelp.com/biz/drink-well-austin?hrid=qrgqWW55yW8GyGP3zAzLEA&osq=Restaurants
341,Mi Madre's,492 reviews,Tex-Mex,Breakfast & Brunch,2201 Manor Rd ,Austin,78722,(512) 322-9721,https://www.yelp.com/biz/mi-madres-austin-2?hrid=IvGtx2XJiwsQomPJtb70pg&osq=Restaurants
342,Truluck's,370 reviews,Seafood,Steakhouses,10225 Research Blvd ,Austin,78759,(512) 794-8300,https://www.yelp.com/biz/trulucks-austin-2?hrid=g75SJG45m7coxxM1rAr_Jw&osq=Restaurants
343,Tacos Y Tortas El Chilango,21 reviews,Food Trucks,Mexican,10721 N Lamar ,Austin,78753,(512) 785-4520,https://www.yelp.com/biz/tacos-y-tortas-el-chilango-austin-2?hrid=YbGNrTAE8qGacRwbm7Stmw&osq=Restaurants
344,J T Youngblood's,104 reviews,Chicken Shop,Ice Cream & Frozen Yogurt,1905 Aldrich St ,Austin,78723,(512) 649-8333,https://www.yelp.com/biz/j-t-youngbloods-austin-2?hrid=RSYwFSfvfyiwKmFBmyAhtA&osq=Restaurants
345,Little Deli & Pizzeria,945 reviews,Delis,Pizza,7101-A Woodrow Ave ,Austin,78757,(512) 467-7402,https://www.yelp.com/biz/little-deli-and-pizzeria-austin?hrid=eLsDp9kC2cW42ePNgxzT1A&osq=Restaurants
346,Fukumoto Sushi & Yakitori,219 reviews,Sushi Bars,Japanese,514 Medina St ,Austin,78702,(512) 770-6880,https://www.yelp.com/biz/fukumoto-sushi-and-yakitori-austin?hrid=SHy6Eaz6wmRPJdlGQggInA&osq=Restaurants
347,RedFin Seafood Kitchen,186 reviews,Seafood,,8300 N FM 620 ,Austin,78726,(512) 428-5885,https://www.yelp.com/biz/redfin-seafood-kitchen-austin?hrid=jA2hbq8Fd7fw3aO_R9CpkQ&osq=Restaurants
348,Casa Colombia,185 reviews,Colombian,,2409 E 7th St ,Austin,78702,(512) 495-9425,https://www.yelp.com/biz/casa-colombia-austin-2?hrid=uQMBN9j9hC3W9wvmuOo1UQ&osq=Restaurants
349,Stiles Switch BBQ & Brew,1051 reviews,Barbeque,,6610 N Lamar Blvd ,Austin,78757,(512) 380-9199,https://www.yelp.com/biz/stiles-switch-bbq-and-brew-austin?hrid=DsEU6-cSenh_6Cjeg8EBCg&osq=Restaurants
350,Abel's On the Lake,460 reviews,Breakfast & Brunch,Bars,3825 Lake   Blvd ,Austin,78703,(512) 904-0570,https://www.yelp.com/biz/abels-on-the-lake-austin?hrid=reErRJiZlbZsxbOKw7yn-g&osq=Restaurants
351,Kerbey Lane Cafe Westlake,114 reviews,American (Traditional),Breakfast & Brunch,701 S Capital Of Texas Hwy ,Austin,78746,(512) 879-2820,https://www.yelp.com/biz/kerbey-lane-cafe-westlake-austin-4?hrid=mTtCfYE_JugmsguNpASjeg&osq=Restaurants
352,Hoover's Cooking,3 reviews,American (Traditional),Breakfast & Brunch,2002 Manor Rd ,Austin,78722,(512) 479-5006,https://www.yelp.com/biz/hoovers-cooking-austin-7?hrid=DY7YUBl5Rj2h2hTd8VSjFw&osq=Restaurants
353,Kyōten Sushiko,31 reviews,Sushi Bars,,4600 Mueller Blvd ,Austin,78723,(512) 888-7559,https://www.yelp.com/biz/ky%C5%8Dten-sushiko-austin?hrid=v7lYW6zKyyk0Qil9WcDKlQ&osq=Restaurants
354,G Bar and Bistro,24 reviews,Cocktail Bars,American (New),6711 E Ben White Blvd ,Austin,78744,(512) 385-8400,https://www.yelp.com/biz/g-bar-and-bistro-austin?hrid=QUXlq9t_5FlGTOU8Zk3npQ&osq=Restaurants
355,Cannone Cucina Italiana,58 reviews,Food Trucks,Pizza,1720 Barton Springs Rd ,Austin,78704,(512) 354-9177,https://www.yelp.com/biz/cannone-cucina-italiana-austin?hrid=BRQM2cmcuqqc_f_T0MqMhQ&osq=Restaurants
356,Russian House,402 reviews,Russian,Middle Eastern,307 E 5th St ,Austin,78701,(512) 428-5442,https://www.yelp.com/biz/russian-house-austin?hrid=NVes5dKfiUVStiX06ZQPtQ&osq=Restaurants
357,"First Watch - Breakfast, Brunch & Lunch",21 reviews,Breakfast & Brunch,Cafes,14005 N US Hwy 183 ,Austin,78717,(512) 250-3447,https://www.yelp.com/biz/first-watch-breakfast-brunch-and-lunch-austin-2?hrid=m6Y6OsgJQX6YUjJcRLMljw&osq=Restaurants
358,The Lucky Belly,36 reviews,Food Trucks,Thai,2207 E Cesar Chavez ,Austin,78702,(512) 426-2624,https://www.yelp.com/biz/the-lucky-belly-austin?hrid=-HPwTcD5CXuLJiA5auIgvQ&osq=Restaurants
359,Salt & Time,354 reviews,Butcher,American (New),1912 E 7th St ,Austin,78702,(512) 524-1383,https://www.yelp.com/biz/salt-and-time-austin-3?hrid=4jYbs6OSccqLnKC6AjjSNw&osq=Restaurants
360,Baton Creole,154 reviews,Food Trucks,Cajun/Creole,1016 E 6th St ,Austin,78702,(512) 986-3834,https://www.yelp.com/biz/baton-creole-austin?hrid=qzGn-9pM4OgKb6vX4yb33Q&osq=Restaurants
361,Chokdee Thai Cuisine,38 reviews,Thai,,11300 US 290Manor,Austin,78653,(512) 410-7291,https://www.yelp.com/biz/chokdee-thai-cuisine-manor?hrid=MlDhjutP9Mxc7X3GJYVg0Q&osq=Restaurants
362,Shady Grove,762 reviews,American (Traditional),Tex-Mex,1624 Barton Springs Rd ,Austin,78704,(512) 474-9991,https://www.yelp.com/biz/shady-grove-austin-2?hrid=vFpIZfIO8DODf_QT8B87lQ&osq=Restaurants
363,El Borrego De Oro,216 reviews,Mexican,,3900 S Congress Ave ,Austin,78704,(512) 383-0031,https://www.yelp.com/biz/el-borrego-de-oro-austin?hrid=DerfLmq9ZE-xlOcAY5bfug&osq=Restaurants
364,Vino Vino,452 reviews,Wine Bars,American (New),4119 Guadalupe St ,Austin,78751,(512) 465-9282,https://www.yelp.com/biz/vino-vino-austin?hrid=OlbeXX2ZJw96CPKV2xl0VA&osq=Restaurants
365,Brotherton's Black Iron Barbecue,160 reviews,Sandwiches,Breakfast & Brunch,15608 Spring Hill LnPflugerville,Austin,78660,(512) 547-4766,https://www.yelp.com/biz/brothertons-black-iron-barbecue-pflugerville-7?hrid=exEgAzW_6eLJi9R98Oe3ag&osq=Restaurants
366,Sundaze,63 reviews,Vegan,Food Trucks,2323 S Lamar Blvd ,Austin,78704,(512) 999-1988,https://www.yelp.com/biz/sundaze-austin?hrid=gV-6lx6XuMawR6T9uYCFpw&osq=Restaurants
367,Cow Bells,229 reviews,Burgers,Caterers,1919 E Riverside Dr ,Austin,78741,(512) 662-4114,https://www.yelp.com/biz/cow-bells-austin-3?hrid=edGfKNbV9yE7CWqPAptzQg&osq=Restaurants
368,Li'l Nonna's,42 reviews,Pizza,Vegan,1505 Town Creek Dr ,Austin,78741,(512) 993-8998,https://www.yelp.com/biz/lil-nonnas-austin?hrid=wBOOZws2y_Jcm93cKHLUkg&osq=Restaurants
